Time,Solar,Wind
1,0,48.7
2,0,34.5
3,0,23.3
4,0,34.5
5,0,48.7
6,0,34.5
7,0,70.3
8,20,48.7
9,157,48.7
10,314,23.3
11,436,14.9
12,505,0
13,487,0
14,455,1.7
15,349,0
16,198,4.6
17,46,8.8
18,0,14.9
19,0,4.6
20,0,4.6
21,0,8.8
22,0,23.3
23,0,14.9
24,0,8.8
25,0,70.3
26,0,119.2
27,0,629.9
28,0,629.9
29,0,48.7
30,1,34.5
31,54,23.3
32,92,119.2
33,296,119.2
34,349,150.4
35,575,821.5
36,564,629.9
37,572,629.9
38,602,1073.3
39,240,546.4
40,558,546.4
41,99,1073.3
42,70,953.3
43,4,275.7
44,0,821.5
45,0,340.7
46,0,34.5
47,0,34.5
48,0,92.6
49,0,1.7
50,0,8.8
51,0,1.7
52,0,4.6
53,1,4.6
54,82,1.7
55,265,8.8
56,470,0
57,663,0
58,823,0
59,938,1.7
60,952,8.8
61,946,14.9
62,725,23.3
63,840,8.8
64,637,34.5
65,453,186.6
66,214,275.7
67,94,70.3
68,4,1.7
69,0,0
70,0,1.7
71,0,1.7
72,0,4.6
73,0,34.5
74,0,4.6
75,0,4.6
76,0,0
77,0,4.6
78,0,0
79,0,4.6
80,213,14.9
81,398,34.5
82,528,8.8
83,665,8.8
84,708,4.6
85,673,8.8
86,608,34.5
87,474,92.6
88,280,92.6
89,101,70.3
90,0,48.7
91,0,23.3
92,0,23.3
93,0,150.4
94,0,34.5
95,0,14.9
96,0,48.7
