Time,Solar,Wind
1,0,402.2
2,0,228.3
3,0,119.2
4,0,119.2
5,0,150.4
6,0,34.5
7,0,34.5
8,2,70.3
9,34,66.3
10,48,275.7
11,64,150.4
12,74,275.7
13,202,92.6
14,166,92.6
15,124,150.4
16,162,340.7
17,16,546.4
18,0,470.6
19,0,629.9
20,0,629.9
21,0,470.6
22,0,629.9
23,0,275.7
24,0,150.4
25,0,23.3
26,0,23.3
27,0,8.8
28,0,8.8
29,0,23.3
30,9,14.9
31,43,23.3
32,98,23.3
33,155,34.5
34,168,70.3
35,163,34.5
36,174,34.5
37,173,8.8
38,161,23.3
39,136,34.5
40,102,34.5
41,62,23.3
42,27,4.6
43,3,8.8
44,0,23.3
45,0,34.5
46,0,48.7
47,0,228.3
48,0,119.2
49,0,48.7
50,0,14.9
51,0,4.6
52,0,8.8
53,1,7.8
54,25,34.5
55,47,23.3
56,85,70.3
57,147,48.7
58,185,48.7
59,211,34.5
60,225,23.3
61,552,23.3
62,468,48.7
63,624,4.6
64,442,1.7
65,312,48.7
66,232,34.5
67,78,23.3
68,2,34.5
69,0,34.5
70,0,14.9
71,0,14.9
72,0,34.5
73,0,228.3
74,0,275.7
75,0,629.9
76,0,275.7
77,0,34.5
78,0,119.2
79,39,92.6
80,161,150.4
81,383,228.3
82,521,92.6
83,577,228.3
84,592,150.4
85,578,402.2
86,475,340.7
87,412,402.2
88,257,150.4
89,78,150.4
90,0,119.2
91,0,119.2
92,0,14.9
93,0,23.3
94,0,34.5
95,0,8.8
96,0,0
